id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
1219,niche,0.059173553719008266,0.904415202258919,2.0,14.0,8.0,216.0,40.0,308.0,607.0
1219,cascade,0.05548469387755102,0.934775666776304,3.0,5.0,11.0,337.0,35.0,315.0,274.0
1219,hierarchy,0.05644132653061224,0.9425972181319175,1.0,4.0,2.0,441.0,35.0,254.0,215.0
1219,maxent,0.05644132653061224,0.9134191507675656,3.0,32.0,0.0,116.0,67.0,119.0,791.0
1237,random,0.10419753086419753,0.9416657285148897,3.0,1.0,0.0,257.0,30.0,143.0,118.0
1237,niche,0.08447352766210589,0.8978139253837701,2.0,8.0,2.0,83.0,25.0,152.0,235.0
1237,cascade,0.09975308641975308,0.9104873087962023,3.0,7.0,6.0,473.0,122.0,476.0,461.0
1237,hierarchy,0.10567901234567902,0.9285343743885416,1.0,3.0,0.0,672.0,157.0,312.0,333.0
1237,maxent,0.10469135802469136,0.9072136315906172,3.0,20.0,4.0,118.0,229.0,294.0,773.0
1218,random,0.05695977216091136,0.9399607444558516,2.0,1.0,4.0,198.0,7.0,87.0,104.0
1218,niche,0.0604,0.922705633149472,2.0,13.0,3.0,196.0,30.0,159.0,283.0
1218,cascade,0.05658284023668639,0.9377177955615376,4.0,9.0,5.0,301.0,41.0,229.0,282.0
1218,hierarchy,0.051619793520825914,0.9522138290565015,1.0,4.0,2.0,317.0,10.0,203.0,153.0
1218,maxent,0.053399786400854396,0.9163837458395933,2.0,40.0,0.0,85.0,60.0,72.0,1273.0
1235,random,0.0783673469387755,0.9410466163060635,4.0,1.0,0.0,111.0,6.0,52.0,51.0
1235,niche,0.07742878013148284,0.9119629776957432,2.0,8.0,10.0,158.0,48.0,152.0,179.0
